,0,1
71,Juventus Upayakan Diskon Harga Juan Mata Dari Manchester United - https://t.co/4o1UWcTS8A https://t.co/EfzJRj0KLQ,gilabolacom
72,"OCTOSAVE dari @misteraladinID DIPERPANJANG lho! Kamu bisa nikmatin diskon s.d 15% (maks. Rp1,2 JUTA) untuk semua hotel di Mister Aladin sampai dengan 04 November lho. Tunggu apalagi? Ayo, pesan SEKARANG juga! CEK: https://t.co/NVanG96wZt https://t.co/Nta3QzMkEP",MNCPlayID
73,"OCTOSAVE dari @misteraladinID DIPERPANJANG lho! Kamu bisa nikmatin diskon s.d 15% (maks. Rp1,2 JUTA) untuk semua hotel di Mister Aladin sampai dengan 04 November lho. Tunggu apalagi? Ayo, pesan SEKARANG juga! CEK: https://t.co/TAVtnjWMdS https://t.co/czctLXURJu",MNCupdate
74,Beberapa toko di shopee bener sih dia diskon up to 90%. Tapiiiii........harga aslinya ditinggin beberapa kali lipat. Kan sama aja jadinya gak diskon hmm,rezkyintanr
75,lusa nonton gintama... btw wingstop belom keluarin diskon ultah yak,Yuki_0911
76,nawar harga barang jangan sadis sadis amat laaaaaaah~ #Terbaru #Esai https://t.co/U7cA80yLIF,mojokdotco
77,"Hi Friends, kami hadir kembali tahun ini di Indocomtech. Langsung mampir ke booth https://t.co/69vHdY5m72 buat kamu yg lg cari gadget terkini dgn diskon yg luar biasa. Yuk ke Hall A JCC Senayan! #BliblionIndocomtech https://t.co/t3ONiujGt7",bliblidotcom
78,"Brands favorit sekelas Fossil dan FujiFilm siap bikin kamu menjerit! Gimana enggak, semuanya bakal kebagian cashback 100% dan diskon sampai 70%. Buruan #BlibliSekarang,  hanya di #HisteriaJeratJerit, kalau kamu gak mau kehabisan.",bliblidotcom
79,Happy Halloween! Saatnya menikmati treats of the week dari handphone &amp; all tablet hanya di https://t.co/69vHdYmXvC! Penawaran dan diskon spesialnya dijamin buat kamu merinding!,bliblidotcom
80,"Tampil cantik juga butuh peralatan lengkapnya dong. Di sini kamu bisa dapatkan banyak pilihan untuk semua peralatan yang kamu butuhkan, dengan diskon spesial tentunya. Cek dan #BlibliSekarang yuk ;)",bliblidotcom
81,"Hi Girls! Office look kece #RabuCantik dari brand ternama seperti Fossil, Melissa, dan lain - lain siap bikin penampilanmu makin oke. Diskon spesialnya sampai  75% dan masih ada diskon tambahan lainnya loh. Cek dan #BlibliSekarang yuk ;)",bliblidotcom
82,Juventus Upayakan Diskon Harga Juan Mata Dari Manchester United https://t.co/ZV3P4apUk1 https://t.co/LOK1FPw1Rl,pocongfootball
83,"Hey bro, VGA card Nvidia dapat ekstra diskon hinga Rp150.000 loh! Sebelum kehabisan buruan cek dan #BlibliSekarang yuk ",bliblidotcom
84,"@nayasaa Iya, pas discount period due to their openingnya. (so jaksel tapi males translate)  Kemaren uniqlo sency diskon semingguan.",pisangmadu
85,"Diskon Toyota Bogor, hub: 085701512000 #ToyotaBogor",BogorSHOPPING
86,@kaesangp Lg ada promo ga ? Misalkan diskon 100% gitu mas .,iman_rosyadi23
87,Dapatkan banyak diskon dan harga spesial di Ace Hardware BIG Mall Samarinda. Jangan sampai kehabisan yaa BIGers~ https://t.co/uitwgvcZoS,bigmall_smd
88,@persebayastore cara gunakan PS card untuk dapat diskon belanja online bagaiamanakh?,AzzamAyahe
89,BREADLIFE Promo Pay 2 For 3 / Pay 6 For 12 / Diskon hingga 30% dengan Kartu Debit BCA  Kartu Kredit BCA  Flazz dan Sakuku | Lihat informasi dan ketentuan promosi selengkapnya disini : https://t.co/oobJQmm7aG,katalogpromosi
90,"Cardholders, sudah pada gajian belum nih? Setelah gajian boleh banget loh makan siang bareng sahabat di Tom Tom. Jangan lupa gunakan #mandiricard dan nikmati diskon 20% #mandiripromo https://t.co/LH9p7xwY24 https://t.co/CygvK9ncbc",mandiricard
91,mirota tuh emang ya. udah paling murah masih juga masih diskon. :))),heroxiine
92,@askmenfess Harusnya bahas diskon gini nih yg banyak! Beli dimana buru jawab!!!,sugarosey
93,@askmenfess iya di mirota juga diskon kmrn,heroxiine
94,"Halo! jadi Big Bad Wolf (BBW) lagi ada di Medan nih. aku mau buka jastip, siapa tau ada yg mau beli buku dr BBW, lumayan loh buku impornya diskon dr 60-80% anw, jastipnya 20rb aja per transaksi. nanti kalian blg mau buku apa terus aku cariin getoh",bymaxx23
95,Siapa lagi yang mau join reseller Nibras kak... Berikut ketentuannya: Pembelian mulai 1 pcs diskon 10% Mulai 3 pcs diskon 15% Mulai 6 pcs diskon 20% yang malu2 chat Mimin 082324126647,niessa_Zoeharto
96,Yang Perlu Anda Ketahui Sebelum Festival Belanja 11/11 dan 12/12 https://t.co/vHnEM8dG6x  Akhir tahun merupakan pesta bagi pelaku e-commerce di Indonesia dan Asia Tenggara. Hal ini disebabkan banyak promo diskon seperti 11/11 dan 12/12 yang jatuh di pengujung tahun. Data Criteo,SayaSukaGudeg
97,Spesial 59rb saja sis! Yes! Tas cakep eba1602 ini tersedia 2 warna! Cakep siss. Mauu?? Harga di website https://t.co/tw33RvJQCX BELUM diskon! Bisa diskon 60rb setelah member! Member itu GRATIS sis! https://t.co/pt35Ma5QwX,peduligaya
98,@FiersaBesari Beli nya besok aja bang klo udah ada diskon 50% + buy 1 get 1 :((,irvan_ariffin
99,Diskon Tas ,imala_lala
100,https://t.co/ZI6M0uu8cFAmbil voucher &amp; dapatkan diskonMARVEL Avengers Infinity War T-Shirt Style #13 - Navy [S] Harga awal: Rp 89.000 Harga https://t.co/ZI6M0uu8cF: Rp 71.200 Link: https://t.co/CqIA5qkEYB,eka_octo
101,"@bIuebcrry [ LINE ]   Diskon?  Nggak. HEHE  Selama gue belum sepenuhnya bahagia, diskon is a no no  :)",yongbokcells
102,@rlthingy gw cmn dapet big mac tp itu aja ga diskon ,annisaanne_
103,@Dumai_Nakama Sekarang lagi ada diskon kok Grameds. Diskon 15% buku terbitan Gramedi dan produk special Gramedia untuk pengguna kartu kredit BRI dan diskon 10% buku terbitan Gramedi dan produk special Gramedia untuk pengguna kartu debit dan brizzi BRI.,gramedia
104,Mari Rayakan Ulang Tahun dengan Pesta Belanja Lazada 11.11 https://t.co/RnullDTJ8p #Diskon #Belanja #Shopping,bairuindra
105,@noviaprims Diskon 15% buku terbitan Gramedi dan produk special Gramedia untuk pengguna kartu kredit BRI.,gramedia
106,@noviaprims Diskon 10% buku terbitan Gramedi dan produk special Gramedia untuk pengguna kartu debit dan brizzi BRI.,gramedia
107,"Hi, gunakan kode berikut ini joice97Q9ANM2XNT untuk mendapatkan diskon pembelian paket ruangbelajar di Aplikasi mobile @ruangguru",Joice06708598
108,"Dapatkan Diskon 50% All Item !  Syaratnya gampang banget, Kangmas dan Diajeng cukup datang memakai baju warna hitam ke Outlet GeprekBoss di Subha Foodfest Lt. 3 Galeria Mall . S&amp;K: hanya berlaku makan ditempat ya boss  hanya berlaku tanggal 31 oktober 2018 https://t.co/TOJ4IXDzn4",galeriamall
109,belanja dilazada diskon besar2an https://t.co/cLqln1Gbdb,Vallno_07
110,Heii otwlovers udah tau belum di @otwpku ada diskon 50% loh untuk semua martabak manis buruan ke @otwpku Sekarang cobain martabak nya dan masih banyak juga loh promo dan diskon lain nya #udahotw #otwfoodstreet #otwpku #minumanpku  #pekanbaruhits #pkuhits #kulinerpku ,OtWpku
111,"@kredivo min, mhn penjlsan kenapa diskon yg saya dapatkan sbsr 100rb, tau2 hilang, padahal pembelian pertama saya gak sampai 10rb dilazada.",NinaDinawati
112,"Gajian makin seru di https://t.co/r9MwgvqhaA dengan diskon produk WRP hingga 15%. Yuk, beli sekarang juga karena promo hanya hingga 5 November 2018! https://t.co/zjMi0Z8GVZ",NutriMartID
113,@afadhima @Rabbiyaya @lynmtea @suryaramadann @lmilatiana @gardagagar @devidaputriay @rahagyu29 @bayu_joo Aku selaku penjualnya biasanya aku naikin 10% dari harga normal baru aku diskon  haha,adjianto_fendi
114,"ILUNI MM-UI dan Selasar, present CEO Talks: Seminar Management Insight-Leading Millenials.   Pesan tiket, dan dapatkan diskon 20% dengan sebut kode promo: kumparan, dan tunjukan bahwa kamu sudah punya aplikasi kumparan saat datang di acara! Register now: +62816939424 (WA Only) https://t.co/kZkYWXUHo0",kumparan
115,Astaghfirullah ini GrabFood diskon terus gue kapan nabungnya.  ),YONGJIM2F
116,SPECIAL PROMO BUAT ANDA PECINTA DESAIN !!!  *JASA DESAIN LOGO (DISKON 5%) *JASA DESAIN BROSUR (DISKON 5%) *JASA DESAIN KALENDER (DISKON 5%) *JASA IKLAN DI SSE (DISKON 15%)  DAN BERBAGAI PELAYANAN TERBAIK UNTUK DESAIN !!!  AYO  HUBUNGI SEKARANG WA : ASSEGAF (0817-7997-5106) https://t.co/V0ArEQF9xm,SatuViral
117,"Saya beli kedua kalinya, tapi tetep aja tidak dapet garpu kecilnya. Gimana ini @kaesangp ? Harusnya dapet diskon 1000, karna garpunya tidak diikutsertakan. https://t.co/kTAnau1TIK",Haerlin___
118,Ayo dibeli dibeli mumpung diskon akhir tahun.  https://t.co/H2t99jib8q,giewahyudi
119,@dsuperboy 10 ribu bang +esteh+krupuk.. kadang dapet diskon gorengan 1. Hhh,zaa_azhar
120,Diskon Nutella Picu Kekacauan di Seluruh Prancis - https://t.co/TXsSsOLfdY https://t.co/9oELuEXe68,citizendailynet
121, WOODSKIN YELLOW SQ   Bahan : Woodskin  Size : 115 x 115 cm  Harga : Rp. 48.000  Beli 3pcs  @ 46.000  . Diskon 2 ribu/pcs untuk setiap pembelian 3 pcs yaa ukhty..  (Boleh https://t.co/eYwUcQHV9P,ArsitaWPram
122, WOODSKIN ORANGE SQ   Bahan : Woodskin  Size : 115 x 115 cm  Harga : Rp. 48.000  Beli 3pcs  @ 46.000  . Diskon 2 ribu/pcs untuk setiap pembelian 3 pcs yaa ukhty..  (Boleh https://t.co/FMwmmGQtnZ,ArsitaWPram
123,"Ingin traktir lunch teman sekantor tapi bingung pilih restorannya? Kenapa ngga ke Pizza Hut aja dan tukarkan #fiestapoin Sahabat, ada diskon hingga 30% loh. https://t.co/yeMn4qWS0g https://t.co/yqFFg1ni1R",bankmandiri
124, WOODSKIN BATA SQ   Bahan : Woodskin  Size : 115 x 115 cm  Harga : Rp. 48.000  Beli 3pcs  @ 46.000  . Diskon 2 ribu/pcs untuk setiap pembelian 3 pcs yaa ukhty..  (Boleh mix https://t.co/p1YAASXon5,ArsitaWPram
125,@beauthingy Banyak yang diskon tapi duit ga banyak ,euphoari
126, WOODSKIN BROWN SQ   Bahan : Woodskin  Size : 115 x 115 cm  Harga : Rp. 48.000  Beli 3pcs  @ 46.000  . Diskon 2 ribu/pcs untuk setiap pembelian 3 pcs yaa ukhty..  (Boleh https://t.co/FLZfhvJJpz,ArsitaWPram
127,"@Afinszabramatyo Diam-diam kok, ga buka shopee gatau kalo ada diskon",asrinura
128, WOODSKIN MOCCA SQ   Bahan : Woodskin  Size : 115 x 115 cm  Harga : Rp. 48.000  Beli 3pcs  @ 46.000  . Diskon 2 ribu/pcs untuk setiap pembelian 3 pcs yaa ukhty..  (Boleh mix https://t.co/5TXQwrfkfX,ArsitaWPram
129,"yang mau liburan ke #TransStudioBandung weekend ini, yuk cus di manfaatkan Friends promonya! Love &amp; RT tweet ini dan tunjukkan di loket kita untuk mendapatkan diskon 25% HTM Trans Studio Bandung! 1 RT untuk 1 tiket ya, friends!   Periode promo : 1 - 30 November 2018 https://t.co/hz8VM7mUHB",TransStudioBdng
130,@bayu_joo Bang diskon itu apa sih gue biasa belanja dipasar gak pernh ada diskon cuy,Harychaniago
131,"Jangan lupa juga mampir ke boothnya BNI karena ada banyak promo menarik disini! Ada diskon hingga 1,3 juta, cashback hingga 1 juta dan juga cicilan sampai 6 bulan. Yakin gak pengen liburan pake promo ini???  #BNI46 #TTLF2018 #StartsFromTheCard https://t.co/C4hMZFlCv6",BNI
132,@gramedia kq kemarin ga dpt diskon pas belanja di gramed? ,Dumai_Nakama
133,"diskon Tiket(dot)com ini menarik sekali. sayangnya kalau pesan via app harus masukin nomor passpor. which is literally ya, passpor bangbew expired :"")  jadi yaudah pakai harga normal didiskon dikit via travel agen biasa. #udahgituaja",annisantyas
134,LAZADA Promo Elektronik Shopping Days! Diskon Hingga 50% + Voucher 10%! https://t.co/Lwaojrk9SN,katalogpromosi
135,"@integrawl @womanfeeds Maksudnya dia, include ongkir dan diskon semuanya jadi 60k mba",expelliarmoux
136,@MYGUCCI_BOI Semalem maybelline diskon beli pore eraser sm mascara cuma 100k :)) ga tahan aq tuch. Ntar 11.11 beli lagi(?),elysianim
137,@arh82 @sastragpu Tidak ada. Beli satu buku jg sudah diskon  #bukugpu,bukugpu
138,@laskar_minang masih mau minta diskon ?? https://t.co/ps6vgFAG1u,EDitektif
139,"@NinaDinawati Hi, Kami informasikan untuk kupon diskon Kredivo hanya bisa digunakan pada transaksi pertama menggunakan Kredivo atau user baru Kredivo yang belum pernah melakukan transaksi di merchant manapun. Salam Hangat :)",kredivo
140,@laskar_minang aduhhhhhh malah minta diskon lagi  https://t.co/1Pvgqegupl,EDitektif
141,"#2 RSB juga telah bekerjasama dgn ratusan pihak ketiga utk mendapatkan harga diskon &amp; diberi kemudahan dalan bertransaksi. Jd kamu ga perlu khawatir. Kalau mau tahu lebih jauh, segera gabung dengan Rezeki Sejuta Bintang. #RSB #RSBforSulsel #RezekiSejutaBintang #KartuSejutaBintang",komunitasRSB
142,@laskar_minang gak da diskon ya ,EDitektif
143,"Barang baruuu. Masih anget nihh, tengok yuuuu Kode :akasia wedges Harga :69000 Size : 36-40 Yuk diborong guysss! Beli banyak dapat diskon :3 https://t.co/NuIi5kxuxU  jual_beli kicaupromo",SepatuDocmartku
144,Flash sale sana sini ga ada yang jual watercolor paper diskon 70% gitu,AF_Hida
145,"Diskon Toyota Bogor, hub: 085701512000 https://t.co/UPX6O9lxEl #ToyotaBogor",Auto2000Bogor
146,"FLASH SALE TELAH DIMULAI! 100 orang pertama yang menggunakan kode promo RED4PM di jam 4 sore akan mendapatkan DISKON 25%. Hanya di RedDoorz App dan https://t.co/CQVxCqc3fU ya, #redtraveler! - Syarat &amp; Ketentuan: https://t.co/3krzBkjoN5 https://t.co/KGjr6U2e0Z",RedDoorzID
147,@ChocoBee_ engggaaa sepatu itu ga bakal diskon soalnya limited    Tau album jepang emang medit pol,tys1004
148,"Bagi anda yg menyukai penghematan dan Promo2 diskon , Mari Follow diskonevoucher krn banyak info diskon berguna bagi anda .. .",PontasYabesS
149,terapkan konsumsi syariah. biarkan diskon 11.11 dimana mana. biarkan.,likayuliana21
150,"@rvsoojoyie Aku tungguin deh yang penting diskon, setia kan aku? &gt;____&lt;",lovarruka
151,Hai Seafood Lovers. Diskon 50% Setiap Hari untuk menu yang berbeda masih ada loh.  Jangan lupa datang dan nikmati setiap menu dari @dcost_seafood  D'Cost Seafood Lt.Basement 1 TM Mangga 2 Square https://t.co/Ubg1VS5LXB,TM_M2S_APG
152,"Untuk mengawali bulan November ini, cobain paket bakso tulang iga dari @basomoomoo, yuk! Bayar pakai YUKK Cash dan nikmati diskon di Baso Moo Moo sebesar 10% + reward 15% yang bisa kamu pakai di pembelian selanjutnya. #YUKKpakeYUKK #DoubleSerunya https://t.co/PTrXbwS6Dc",yukk_id
153,Harga diskon sangat jarang di temukan #Robbyvers48,bagas_galeh
154,"Update apps https://t.co/69vHdYmXvC sekarang buat maen game #HisteriaJeratJerit! Dapatkan ekstra diskon hingga 500rb. Yuk kunjungi booth Dell, IT Galeri dan Canon buat scan QR Code-nya. #BliblionIndocomtech https://t.co/mZiKp21O4F",bliblidotcom
