,tweet,user
0,Buat kalian yang lagi nyari-nyari Hape Baru - Jangan Lupa mampir yah ke Erafone Mal Ciputra Jakarta - Soalnya lagi ada CLEARANCE SALE dengan Diskon hingga 86% - Hemat hingga Rp. 2 1 Juta | Pengen tau hape aja yang diskon ? Yuk intip daftarnya  disini https://t.co/oPu0DVtRrH,katalogpromosi
1,"PROMO BESAR PENINGGI BADAN TIENS, order yuk, invit 29A2D527 SMS 085642236122. #Tiens #Murah #promo #diskon #sragen #s ##InfoJatim #Retweet",PeninggiGrosir
2,ERAFONE EXHIBITION di Pondok Indah Mall 1  Duta Mal Banjarmasin dan Plaza Ambarrakumo Yogyakarta - DISKON hingga Rp1 5 Juta  tambahan diskon hingga Rp1 Juta menggunakan Kartu Kredit BRI &amp; Mandiri tanggal 29 Oktober - 04 November 2018 | Info lengkap di https://t.co/v8dUm6SlEC,katalogpromosi
3,"Udah kangen New York banget.  Kebetulan ngga bisa tidur, iseng liat @traveloka 🙈  Eh lagi ada diskon 1 JUTA! Kan jadi fix beli 😭😭😭😭❤ https://t.co/byrFi4qePU",LadyZwolf
4,"LOTTEMART Diskon Tambahan 15% untuk semua produk* dengan Kartu Kredit BNI – LOTTE Mart, berlaku hanya 1 hari, tanggal 02 November 2018 | Lihat yuk syarat dan ketentuan lengkapnya disini https://t.co/iqFwgHz5Qq",katalogpromosi
5,SALE GILA-GILA-an Diskon 70% s/d 80% di https://t.co/aT5RflHErv  -D-,ProdukDigitalID
6,@gawir2 Ga ah. Enakan digojek diskon banyak WKWKWKWK,devitamns
7,"@asalulus @rlthingy Iya, kemarin itu kan ada anak wf share OA holika holika lagi diskon gede di shopee, emang sih harganya ada yang sampe 30k 45k gitu. Eh taunya banyak yg di DM sama admin holikaholika kalo ga perlu bayar karna salah input harga. Kecewa deh akhirnya yg mau beli gajadi ☹️",bllackswaan
8,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
9,ya jadi kalo disimpulkan sheet mask ini worth it menurutku (buat kulitku yang kering). aku kasih rating 4/5 karena khasiatnya yg lumayan ampuh tapi bentuk sheetnya aku kurang suka. kemungkinan beli lagi kalo di sociolla diskon 50% lagi wkwk,jichuIiette
10,"Belanja berhadiah Samsung S9 dan promo diskon dari Tokopedia, Di halaman pembayaran, jangan lupa untuk klik ""Gunakan Kode Promo"" dan masukkan kode ini =&gt; TPGIL4858",little7211
11,LAZADA Promo Elektronik Shopping Days! Diskon Hingga 50% + Voucher 10%! https://t.co/v0rIQImjew,katalogpromosi
